Account Number,Owner,New Owner,,,,,,,,,,,,,
A10748,25,26,,,,,,,,,,,,,
A10615,25,26,,,,,,,,,,,,,
A10346,23,24,,,,,,,,,,,,,
A10795,22,23,,,,,,,,,,,,,
A10552,9,11,,,,,,,,,,,,,
A10479,9,11,,,,,,,,,,,,,
A10388,9,11,,,,,,,,,,,,,
A10312,9,11,,,,,,,,,,,,,
A10370,25,26,,,,,,,,,,,,,
A10033,23,24,,,,,,,,,,,,,
A10032,23,24,,,,,,,,,,,,,
A10035,23,24,,,,,,,,,,,,,
A10286,9,11,,,,,,,,,,,,,
A10530,29,29,,,,,,,,,,,,,
A10463,25,26,,,,,,,,,,,,,
A10619,9,11,,,,,,,,,,,,,
A10466,9,11,,,,,,,,,,,,,
A10604,23,24,,,,,,,,,,,,,
A10776,23,24,,,,,,,,,,,,,
A10454,25,26,,,,,,,,,,,,,
A10662,25,26,,,,,,,,,,,,,
A10694,25,26,,,,,,,,,,,,,
A10692,29,29,,,,,,,,,,,,,
A10392,29,29,,,,,,,,,,,,,
A10777,23,24,,,,,,,,,,,,,
A10661,23,24,,,,,,,,,,,,,
A10626,9,11,,,,,,,,,,,,,
A10359,29,29,,,,,,,,,,,,,
A10500,29,29,,,,,,,,,,,,,
A10438,23,24,,,,,,,,,,,,,
A10171,25,26,,,,,,,,,,,,,
A10502,29,29,,,,,,,,,,,,,
A10807,9,11,,,,,,,,,,,,,
A10704,25,26,,,,,,,,,,,,,
A10588,9,11,,,,,,,,,,,,,
A10364,25,26,,,,,,,,,,,,,
A10534,25,26,,,,,,,,,,,,,
A10640,9,11,,,,,,,,,,,,,
A10728,9,11,,,,,,,,,,,,,
A10699,23,24,,,,,,,,,,,,,
A10431,3,5,,,,,,,,,,,,,
A10319,23,24,,,,,,,,,,,,,
A10500,29,29,,,,,,,,,,,,,
A10392,9,11,,,,,,,,,,,,,
A10128,15,16,,,,,,,,,,,,,
A10531,29,29,,,,,,,,,,,,,
A10412,18,19,,,,,,,,,,,,,
A10481,9,11,,,,,,,,,,,,,
